Solar, nuclear, hep, in eV^-1 cm^-2 s^-1 

    Energy[eV]       Flux min        Flux max
   1.8540000e+07   8.9544000e-06   1.7253210e-05
   1.8558000e+07   8.3316800e-06   1.6053362e-05
   1.8577000e+07   7.7173600e-06   1.4869699e-05
   1.8596000e+07   7.1114400e-06   1.3702221e-05
   1.8615000e+07   6.5122400e-06   1.2547691e-05
   1.8633000e+07   5.9180800e-06   1.1402872e-05
   1.8652000e+07   5.3275600e-06   1.0265066e-05
   1.8671000e+07   4.7375440e-06   9.1282321e-06
   1.8690000e+07   4.1437200e-06   7.9840605e-06
   1.8709000e+07   3.5389760e-06   6.8188484e-06
   1.8727000e+07   2.9110480e-06   5.6089657e-06
   1.8746000e+07   2.2344560e-06   4.3053179e-06
   1.8765000e+07   1.4413840e-06   2.7772381e-06
   1.8784000e+07   5.6000000e-09   1.0790000e-08
