Solar, nuclear, hep, in eV^-1 cm^-2 s^-1 

    Energy[eV]       Flux min        Flux max
   3.2120000e+06   1.6814560e-04   3.2398054e-04
   3.2308000e+06   1.6972480e-04   3.2702332e-04
   3.2496000e+06   1.7129840e-04   3.3005531e-04
   3.2684000e+06   1.7288320e-04   3.3310888e-04
   3.2872000e+06   1.7446240e-04   3.3615166e-04
   3.3059000e+06   1.7605280e-04   3.3921602e-04
   3.3247000e+06   1.7763760e-04   3.4226959e-04
   3.3435000e+06   1.7922800e-04   3.4533395e-04
   3.3623000e+06   1.8081840e-04   3.4839831e-04
   3.3811000e+06   1.8241440e-04   3.5147346e-04
   3.3999000e+06   1.8401040e-04   3.5454861e-04
   3.4186000e+06   1.8561200e-04   3.5763455e-04
   3.4374000e+06   1.8721360e-04   3.6072049e-04
   3.4562000e+06   1.8881520e-04   3.6380643e-04
   3.4750000e+06   1.9042240e-04   3.6690316e-04
   3.4938000e+06   1.9202960e-04   3.6999989e-04
   3.5126000e+06   1.9363680e-04   3.7309662e-04
   3.5313000e+06   1.9524960e-04   3.7620414e-04
   3.5501000e+06   1.9686240e-04   3.7931166e-04
   3.5689000e+06   1.9847520e-04   3.8241918e-04
   3.5877000e+06   2.0009360e-04   3.8553749e-04
   3.6065000e+06   2.0170640e-04   3.8864501e-04
   3.6253000e+06   2.0332480e-04   3.9176332e-04
   3.6440000e+06   2.0494880e-04   3.9489242e-04
   3.6628000e+06   2.0656720e-04   3.9801073e-04
   3.6816000e+06   2.0819120e-04   4.0113983e-04
   3.7004000e+06   2.0981520e-04   4.0426893e-04
   3.7192000e+06   2.1143920e-04   4.0739803e-04
   3.7380000e+06   2.1306320e-04   4.1052713e-04
   3.7567000e+06   2.1469280e-04   4.1366702e-04
   3.7755000e+06   2.1632240e-04   4.1680691e-04
   3.7943000e+06   2.1795200e-04   4.1994680e-04
   3.8131000e+06   2.1958160e-04   4.2308669e-04
   3.8319000e+06   2.2121120e-04   4.2622658e-04
   3.8507000e+06   2.2284080e-04   4.2936647e-04
   3.8694000e+06   2.2447600e-04   4.3251715e-04
   3.8882000e+06   2.2610560e-04   4.3565704e-04
   3.9070000e+06   2.2774080e-04   4.3880772e-04
   3.9258000e+06   2.2937600e-04   4.4195840e-04
   3.9446000e+06   2.3100560e-04   4.4509829e-04
   3.9634000e+06   2.3264080e-04   4.4824897e-04
   3.9822000e+06   2.3427600e-04   4.5139965e-04
   4.0009000e+06   2.3591120e-04   4.5455033e-04
   4.0197000e+06   2.3754640e-04   4.5770101e-04
   4.0385000e+06   2.3918160e-04   4.6085169e-04
   4.0573000e+06   2.4082240e-04   4.6401316e-04
   4.0761000e+06   2.4245760e-04   4.6716384e-04
   4.0949000e+06   2.4409280e-04   4.7031452e-04
   4.1136000e+06   2.4572800e-04   4.7346520e-04
   4.1324000e+06   2.4736320e-04   4.7661588e-04
   4.1512000e+06   2.4899840e-04   4.7976656e-04
   4.1700000e+06   2.5063360e-04   4.8291724e-04
   4.1888000e+06   2.5226880e-04   4.8606792e-04
   4.2076000e+06   2.5390400e-04   4.8921860e-04
   4.2263000e+06   2.5553920e-04   4.9236928e-04
   4.2451000e+06   2.5716880e-04   4.9550917e-04
   4.2639000e+06   2.5880400e-04   4.9865985e-04
   4.2827000e+06   2.6043920e-04   5.0181053e-04
   4.3015000e+06   2.6206880e-04   5.0495042e-04
   4.3203000e+06   2.6369840e-04   5.0809031e-04
   4.3390000e+06   2.6533360e-04   5.1124099e-04
   4.3578000e+06   2.6696320e-04   5.1438088e-04
   4.3766000e+06   2.6859280e-04   5.1752077e-04
   4.3954000e+06   2.7021680e-04   5.2064987e-04
   4.4142000e+06   2.7184640e-04   5.2378976e-04
   4.4330000e+06   2.7347040e-04   5.2691886e-04
   4.4517000e+06   2.7510000e-04   5.3005875e-04
   4.4705000e+06   2.7672400e-04   5.3318785e-04
   4.4893000e+06   2.7834800e-04   5.3631695e-04
   4.5081000e+06   2.7996640e-04   5.3943526e-04
   4.5269000e+06   2.8159040e-04   5.4256436e-04
   4.5457000e+06   2.8320880e-04   5.4568267e-04
   4.5644000e+06   2.8482720e-04   5.4880098e-04
   4.5832000e+06   2.8644560e-04   5.5191929e-04
   4.6020000e+06   2.8805840e-04   5.5502681e-04
   4.6208000e+06   2.8967120e-04   5.5813433e-04
   4.6396000e+06   2.9128400e-04   5.6124185e-04
   4.6584000e+06   2.9289680e-04   5.6434937e-04
   4.6771000e+06   2.9450400e-04   5.6744610e-04
   4.6959000e+06   2.9611120e-04   5.7054283e-04
   4.7147000e+06   2.9771840e-04   5.7363956e-04
   4.7335000e+06   2.9932000e-04   5.7672550e-04
   4.7523000e+06   3.0092160e-04   5.7981144e-04
   4.7711000e+06   3.0252320e-04   5.8289738e-04
   4.7899000e+06   3.0411920e-04   5.8597253e-04
   4.8086000e+06   3.0571520e-04   5.8904768e-04
   4.8274000e+06   3.0731120e-04   5.9212283e-04
   4.8462000e+06   3.0890160e-04   5.9518719e-04
   4.8650000e+06   3.1049200e-04   5.9825155e-04
   4.8838000e+06   3.1208240e-04   6.0131591e-04
   4.9026000e+06   3.1366720e-04   6.0436948e-04
   4.9213000e+06   3.1525200e-04   6.0742305e-04
   4.9401000e+06   3.1683120e-04   6.1046583e-04
   4.9589000e+06   3.1841040e-04   6.1350861e-04
   4.9777000e+06   3.1998400e-04   6.1654060e-04
   4.9965000e+06   3.2155760e-04   6.1957259e-04
   5.0153000e+06   3.2313120e-04   6.2260458e-04
   5.0340000e+06   3.2469920e-04   6.2562578e-04
   5.0528000e+06   3.2626720e-04   6.2864698e-04
   5.0716000e+06   3.2782960e-04   6.3165739e-04
   5.0904000e+06   3.2938640e-04   6.3465701e-04
   5.1092000e+06   3.3094880e-04   6.3766742e-04
   5.1280000e+06   3.3250000e-04   6.4065625e-04
   5.1467000e+06   3.3405680e-04   6.4365587e-04
   5.1655000e+06   3.3560240e-04   6.4663391e-04
   5.1843000e+06   3.3714800e-04   6.4961195e-04
   5.2031000e+06   3.3869360e-04   6.5258999e-04
   5.2219000e+06   3.4023360e-04   6.5555724e-04
   5.2407000e+06   3.4177360e-04   6.5852449e-04
   5.2594000e+06   3.4330800e-04   6.6148095e-04
   5.2782000e+06   3.4483680e-04   6.6442662e-04
   5.2970000e+06   3.4636560e-04   6.6737229e-04
   5.3158000e+06   3.4788880e-04   6.7030717e-04
   5.3346000e+06   3.4941200e-04   6.7324205e-04
   5.3534000e+06   3.5092960e-04   6.7616614e-04
   5.3721000e+06   3.5244160e-04   6.7907944e-04
   5.3909000e+06   3.5395360e-04   6.8199274e-04
   5.4097000e+06   3.5546560e-04   6.8490604e-04
   5.4285000e+06   3.5696640e-04   6.8779776e-04
   5.4473000e+06   3.5846720e-04   6.9068948e-04
   5.4661000e+06   3.5996800e-04   6.9358120e-04
   5.4848000e+06   3.6145760e-04   6.9645134e-04
   5.5036000e+06   3.6294720e-04   6.9932148e-04
   5.5224000e+06   3.6443680e-04   7.0219162e-04
   5.5412000e+06   3.6592080e-04   7.0505097e-04
   5.5600000e+06   3.6739920e-04   7.0789953e-04
   5.5788000e+06   3.6887200e-04   7.1073730e-04
   5.5976000e+06   3.7034480e-04   7.1357507e-04
   5.6163000e+06   3.7181200e-04   7.1640205e-04
   5.6351000e+06   3.7327360e-04   7.1921824e-04
   5.6539000e+06   3.7473520e-04   7.2203443e-04
   5.6727000e+06   3.7618560e-04   7.2482904e-04
   5.6915000e+06   3.7764160e-04   7.2763444e-04
   5.7103000e+06   3.7908640e-04   7.3041826e-04
   5.7290000e+06   3.8053120e-04   7.3320208e-04
   5.7478000e+06   3.8197040e-04   7.3597511e-04
   5.7666000e+06   3.8340400e-04   7.3873735e-04
   5.7854000e+06   3.8483200e-04   7.4148880e-04
   5.8042000e+06   3.8626000e-04   7.4424025e-04
   5.8230000e+06   3.8768240e-04   7.4698091e-04
   5.8417000e+06   3.8909920e-04   7.4971078e-04
   5.8605000e+06   3.9051040e-04   7.5242986e-04
   5.8793000e+06   3.9191600e-04   7.5513815e-04
   5.8981000e+06   3.9332160e-04   7.5784644e-04
   5.9169000e+06   3.9472160e-04   7.6054394e-04
   5.9357000e+06   3.9611600e-04   7.6323065e-04
   5.9544000e+06   3.9750480e-04   7.6590657e-04
   5.9732000e+06   3.9889360e-04   7.6858249e-04
   5.9920000e+06   4.0027120e-04   7.7123683e-04
   6.0108000e+06   4.0164880e-04   7.7389117e-04
   6.0296000e+06   4.0302080e-04   7.7653472e-04
   6.0484000e+06   4.0438720e-04   7.7916748e-04
   6.0671000e+06   4.0574800e-04   7.8178945e-04
   6.0859000e+06   4.0710320e-04   7.8440063e-04
   6.1047000e+06   4.0845840e-04   7.8701181e-04
   6.1235000e+06   4.0980240e-04   7.8960141e-04
   6.1423000e+06   4.1114640e-04   7.9219101e-04
   6.1611000e+06   4.1248480e-04   7.9476982e-04
   6.1798000e+06   4.1381200e-04   7.9732705e-04
   6.1986000e+06   4.1513920e-04   7.9988428e-04
   6.2174000e+06   4.1646080e-04   8.0243072e-04
   6.2362000e+06   4.1777680e-04   8.0496637e-04
   6.2550000e+06   4.1909280e-04   8.0750202e-04
   6.2738000e+06   4.2039760e-04   8.1001609e-04
   6.2926000e+06   4.2169680e-04   8.1251937e-04
   6.3113000e+06   4.2299600e-04   8.1502265e-04
   6.3301000e+06   4.2428400e-04   8.1750435e-04
   6.3489000e+06   4.2556640e-04   8.1997526e-04
   6.3677000e+06   4.2684880e-04   8.2244617e-04
   6.3865000e+06   4.2812000e-04   8.2489550e-04
   6.4053000e+06   4.2939120e-04   8.2734483e-04
   6.4240000e+06   4.3065680e-04   8.2978337e-04
   6.4428000e+06   4.3191120e-04   8.3220033e-04
   6.4616000e+06   4.3316560e-04   8.3461729e-04
   6.4804000e+06   4.3441440e-04   8.3702346e-04
   6.4992000e+06   4.3565200e-04   8.3940805e-04
   6.5180000e+06   4.3688960e-04   8.4179264e-04
   6.5367000e+06   4.3811600e-04   8.4415565e-04
   6.5555000e+06   4.3934240e-04   8.4651866e-04
   6.5743000e+06   4.4055760e-04   8.4886009e-04
   6.5931000e+06   4.4177280e-04   8.5120152e-04
   6.6119000e+06   4.4297680e-04   8.5352137e-04
   6.6307000e+06   4.4418080e-04   8.5584122e-04
   6.6494000e+06   4.4537360e-04   8.5813949e-04
   6.6682000e+06   4.4656640e-04   8.6043776e-04
   6.6870000e+06   4.4774800e-04   8.6271445e-04
   6.7058000e+06   4.4892400e-04   8.6498035e-04
   6.7246000e+06   4.5009440e-04   8.6723546e-04
   6.7434000e+06   4.5125920e-04   8.6947978e-04
   6.7621000e+06   4.5241840e-04   8.7171331e-04
   6.7809000e+06   4.5357200e-04   8.7393605e-04
   6.7997000e+06   4.5472000e-04   8.7614800e-04
   6.8185000e+06   4.5586240e-04   8.7834916e-04
   6.8373000e+06   4.5699920e-04   8.8053953e-04
   6.8561000e+06   4.5812480e-04   8.8270832e-04
   6.8748000e+06   4.5925040e-04   8.8487711e-04
   6.8936000e+06   4.6036480e-04   8.8702432e-04
   6.9124000e+06   4.6147360e-04   8.8916074e-04
   6.9312000e+06   4.6257680e-04   8.9128637e-04
   6.9500000e+06   4.6367440e-04   8.9340121e-04
   6.9688000e+06   4.6476640e-04   8.9550526e-04
   6.9875000e+06   4.6585280e-04   8.9759852e-04
   7.0063000e+06   4.6692800e-04   8.9967020e-04
   7.0251000e+06   4.6800320e-04   9.0174188e-04
   7.0439000e+06   4.6906720e-04   9.0379198e-04
   7.0627000e+06   4.7012560e-04   9.0583129e-04
   7.0815000e+06   4.7117840e-04   9.0785981e-04
   7.1003000e+06   4.7222560e-04   9.0987754e-04
   7.1190000e+06   4.7326160e-04   9.1187369e-04
   7.1378000e+06   4.7429760e-04   9.1386984e-04
   7.1566000e+06   4.7532240e-04   9.1584441e-04
   7.1754000e+06   4.7634160e-04   9.1780819e-04
   7.1942000e+06   4.7735520e-04   9.1976118e-04
   7.2130000e+06   4.7835760e-04   9.2169259e-04
   7.2317000e+06   4.7936000e-04   9.2362400e-04
   7.2505000e+06   4.8035120e-04   9.2553383e-04
   7.2693000e+06   4.8133680e-04   9.2743287e-04
   7.2881000e+06   4.8231680e-04   9.2932112e-04
   7.3069000e+06   4.8329120e-04   9.3119858e-04
   7.3257000e+06   4.8425440e-04   9.3305446e-04
   7.3444000e+06   4.8521200e-04   9.3489955e-04
   7.3632000e+06   4.8616400e-04   9.3673385e-04
   7.3820000e+06   4.8711040e-04   9.3855736e-04
   7.4008000e+06   4.8804560e-04   9.4035929e-04
   7.4196000e+06   4.8898080e-04   9.4216122e-04
   7.4384000e+06   4.8990480e-04   9.4394157e-04
   7.4571000e+06   4.9082320e-04   9.4571113e-04
   7.4759000e+06   4.9173040e-04   9.4745911e-04
   7.4947000e+06   4.9263200e-04   9.4919630e-04
   7.5135000e+06   4.9352800e-04   9.5092270e-04
   7.5323000e+06   4.9441840e-04   9.5263831e-04
   7.5511000e+06   4.9530320e-04   9.5434313e-04
   7.5698000e+06   4.9617680e-04   9.5602637e-04
   7.5886000e+06   4.9704480e-04   9.5769882e-04
   7.6074000e+06   4.9790160e-04   9.5934969e-04
   7.6262000e+06   4.9875840e-04   9.6100056e-04
